Inv No,Customer,Del,Inv Value,Nom Code,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19
MT 35248,0.0,0.0,28410.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.52,2341.52,2419.58,2419.58,2341.52,2419.58,2341.52,2419.58,2419.58,2185.42,2419.58,2341.52,0.0
MT 35249,0.0,0.0,1500.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.42,494.51,510.99,412.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35250,0.0,0.0,450.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35251,0.0,0.0,450.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.41,148.35,153.3,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35252,0.0,0.0,1750.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.92,576.92,596.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35253,0.0,0.0,250.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35254,0.0,0.0,3500.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.46,288.46,298.08,298.08,288.46,298.08,288.46,298.08,298.08,269.23,298.08,288.46,0.0
MT 35255,0.0,0.0,2500.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.84,824.18,851.65,659.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35256,0.0,0.0,2904.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.34,239.34,247.32,247.32,239.34,247.32,239.34,247.32,247.32,223.38,247.32,239.34,0.0
MT 35257,0.0,0.0,605.01,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35258,0.0,0.0,3000.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.25,247.25,255.49,255.49,247.25,255.49,247.25,255.49,255.49,230.77,255.49,247.25,0.0
MT 35259,0.0,0.0,32412.75,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6411.31,10685.52,11041.71,4274.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35260,0.0,0.0,3712.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.9,1223.9,1264.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35261,0.0,0.0,200.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48,16.48,17.03,17.03,16.48,17.03,16.48,17.03,17.03,15.38,17.03,16.48,0.0
MT 35262,0.0,0.0,1437.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.17,473.9,489.7,331.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35263,0.0,0.0,3149.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.53,259.53,268.18,268.18,259.53,268.18,259.53,268.18,268.18,242.23,268.18,259.53,0.0
MT 35266,0.0,0.0,250.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.42,82.42,85.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35267,0.0,0.0,975.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.93,80.36,83.04,83.04,80.36,83.04,80.36,83.04,83.04,75.0,83.04,80.36,21.43
MT 35268,0.0,0.0,1452.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.67,119.67,123.66,123.66,119.67,123.66,119.67,123.66,123.66,111.69,123.66,119.67,0.0
MT 35269,0.0,0.0,1198.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.63,394.95,408.11,105.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35270,0.0,0.0,440.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.05,145.05,149.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35271,0.0,0.0,2537.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.12,216.06,209.09,216.06,216.06,209.09,216.06,209.09,216.06,216.06,195.15,216.06,0.0,0.0
MT 35272,0.0,0.0,3131.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35273,0.0,0.0,1413.32,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35274,0.0,0.0,1165.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.82,99.22,99.22,96.02,99.22,96.02,99.22,99.22,89.62,99.22,96.02,99.22
MT 35276,0.0,0.0,9570.0,2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.97,3260.11,3260.11,1156.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35277,0.0,0.0,17050.13,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.39,1452.07,1452.07,1405.23,1452.07,1405.23,1452.07,1452.07,1311.55,1452.07,1405.23,1452.07
MT 35278,0.0,0.0,3600.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.82,306.59999999999997,306.59999999999997,296.7,306.59999999999997,296.7,306.59999999999997,306.59999999999997,276.92,306.59999999999997,296.7,306.59999999999997
MT 35279,0.0,0.0,450.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.41,153.3,153.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35280,0.0,0.0,2345.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.31,798.85,798.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35281,0.0,0.0,2746.75,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.34,935.71,935.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35282,0.0,0.0,22892.64,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.8600000000001,1949.65,1949.65,1886.75,1949.65,1886.75,1949.65,1949.65,1760.97,1949.65,1886.75,1949.65
MT 35283,0.0,0.0,6387.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.58,2175.96,2175.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35284,0.0,0.0,26750.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8524.73,9112.64,9112.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35285,0.0,0.0,390.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14,32.14,33.21,33.21,32.14,33.21,32.14,33.21,33.21,30.0,33.21,32.14,0.0
MT 35286,0.0,0.0,1250.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.38,307.38,317.62,317.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35287,0.0,0.0,31819.39,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10140.25,10839.57,10839.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35288,0.0,0.0,50525.0,2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.15,4164.15,4302.95,4302.95,4164.15,4302.95,4164.15,4302.95,4302.95,3886.54,4302.95,4164.15,0.0
MT 35289,0.0,0.0,30058.18,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9578.98,10239.6,10239.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35290,0.0,0.0,856.25,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.64,291.69,291.69,28.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35291,0.0,0.0,12606.25,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017.38,4294.44,4294.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35292,0.0,0.0,484.58,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.87,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35293,0.0,0.0,1000.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.86,724.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35295,0.0,0.0,1060.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.8,361.1,361.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35296,0.0,0.0,107.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.63,36.62,36.62,10.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35297,0.0,0.0,882.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT 35298,0.0,0.0,1250.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.35,425.82,425.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
